n,p,rep,rounds
1800,0.5,17,12
1800,0.5,18,11
1800,0.5,19,16
1800,0.5,20,12
1800,0.5,21,13
1800,0.5,22,15
1800,0.5,23,13
1800,0.5,24,12
1800,0.5,25,10
1800,0.5,26,12
1800,0.5,27,11
1800,0.5,28,12
1800,0.5,29,11
1800,0.5,30,13
1800,0.5,31,13
1800,0.5,32,10
1800,0.5,33,11
1800,0.5,34,12
1800,0.5,35,11
1800,0.5,36,12
1800,0.5,37,10
1800,0.5,38,12
1800,0.5,39,11
1800,0.5,40,10
1800,0.5,41,13
1800,0.5,42,11
1800,0.5,43,13
1800,0.5,44,13
1800,0.5,45,13
1800,0.5,46,12
1800,0.5,47,17
1800,0.5,48,10
1800,0.5,49,10
1800,0.5,50,10
1900,0.5,1,10
1900,0.5,2,12
1900,0.5,3,11
1900,0.5,4,13
1900,0.5,5,11
1900,0.5,6,15
1900,0.5,7,9
1900,0.5,8,13
1900,0.5,9,12
1900,0.5,10,17
1900,0.5,11,11
1900,0.5,12,11
1900,0.5,13,13
1900,0.5,14,14
1900,0.5,15,14
1900,0.5,16,11
1900,0.5,17,16
1900,0.5,18,13
1900,0.5,19,14
1900,0.5,20,11
1900,0.5,21,12
1900,0.5,22,10
1900,0.5,23,12
1900,0.5,24,13
1900,0.5,25,11
1900,0.5,26,12
1900,0.5,27,11
1900,0.5,28,12
1900,0.5,29,13
1900,0.5,30,14
1900,0.5,31,12
1900,0.5,32,11
1900,0.5,33,12
1900,0.5,34,11
1900,0.5,35,14
1900,0.5,36,13
1900,0.5,37,12
1900,0.5,38,12
1900,0.5,39,15
1900,0.5,40,13
1900,0.5,41,11
1900,0.5,42,16
1900,0.5,43,11
1900,0.5,44,11
1900,0.5,45,14
1900,0.5,46,9
1900,0.5,47,9
1900,0.5,48,18
1900,0.5,49,14
1900,0.5,50,12
2000,0.5,1,11
2000,0.5,2,13
2000,0.5,3,13
2000,0.5,4,11
2000,0.5,5,15
2000,0.5,6,10
2000,0.5,7,12
2000,0.5,8,11
2000,0.5,9,13
2000,0.5,10,11
2000,0.5,11,12
2000,0.5,12,13
2000,0.5,13,11
2000,0.5,14,14
2000,0.5,15,13
2000,0.5,16,13
2000,0.5,17,10
2000,0.5,18,13
2000,0.5,19,12
2000,0.5,20,13
2000,0.5,21,12
2000,0.5,22,11
2000,0.5,23,10
2000,0.5,24,13
2000,0.5,25,10
2000,0.5,26,12
2000,0.5,27,11
2000,0.5,28,9
2000,0.5,29,12
2000,0.5,30,11
2000,0.5,31,14
2000,0.5,32,10
2000,0.5,33,12
2000,0.5,34,17
2000,0.5,35,11
2000,0.5,36,12
2000,0.5,37,11
2000,0.5,38,12
2000,0.5,39,12
2000,0.5,40,11
2000,0.5,41,13
2000,0.5,42,12
2000,0.5,43,18
2000,0.5,44,12
2000,0.5,45,12
2000,0.5,46,15
2000,0.5,47,13
2000,0.5,48,10
2000,0.5,49,15
2000,0.5,50,12
2100,0.5,1,13
2100,0.5,2,13
2100,0.5,3,13
2100,0.5,4,10
2100,0.5,5,15
2100,0.5,6,12
2100,0.5,7,12
2100,0.5,8,10
2100,0.5,9,11
2100,0.5,10,12
2100,0.5,11,10
2100,0.5,12,10
2100,0.5,13,12
2100,0.5,14,11
2100,0.5,15,11
2100,0.5,16,10
2100,0.5,17,12
2100,0.5,18,12
2100,0.5,19,14
2100,0.5,20,10
2100,0.5,21,11
2100,0.5,22,13
2100,0.5,23,12
2100,0.5,24,11
2100,0.5,25,12
2100,0.5,26,17
2100,0.5,27,14
2100,0.5,28,13
2100,0.5,29,15
2100,0.5,30,16
2100,0.5,31,13
2100,0.5,32,11
2100,0.5,33,11
2100,0.5,34,11
2100,0.5,35,12
2100,0.5,36,13
2100,0.5,37,16
2100,0.5,38,11
2100,0.5,39,13
2100,0.5,40,11
2100,0.5,41,10
2100,0.5,42,12
2100,0.5,43,13
2100,0.5,44,14
2100,0.5,45,10
2100,0.5,46,15
2100,0.5,47,12
2100,0.5,48,10
2100,0.5,49,11
2100,0.5,50,12
2200,0.5,1,12
2200,0.5,2,12
2200,0.5,3,11
2200,0.5,4,14
2200,0.5,5,10
2200,0.5,6,13
2200,0.5,7,14
2200,0.5,8,13
2200,0.5,9,14
2200,0.5,10,13
2200,0.5,11,10
2200,0.5,12,12
2200,0.5,13,13
2200,0.5,14,12
2200,0.5,15,11
2200,0.5,16,12
2200,0.5,17,12
2200,0.5,18,11
2200,0.5,19,17
2200,0.5,20,11
2200,0.5,21,11
2200,0.5,22,14
2200,0.5,23,12
2200,0.5,24,10
2200,0.5,25,11
2200,0.5,26,13
2200,0.5,27,10
2200,0.5,28,12
2200,0.5,29,9
2200,0.5,30,11
2200,0.5,31,12
2200,0.5,32,12
2200,0.5,33,11
2200,0.5,34,14
2200,0.5,35,16
2200,0.5,36,12
2200,0.5,37,11
2200,0.5,38,13
2200,0.5,39,11
2200,0.5,40,13
2200,0.5,41,13
2200,0.5,42,16
2200,0.5,43,11
2200,0.5,44,15
2200,0.5,45,12
2200,0.5,46,15
2200,0.5,47,13
2200,0.5,48,18
2200,0.5,49,13
2200,0.5,50,12
2300,0.5,1,12
2300,0.5,2,12
2300,0.5,3,10
2300,0.5,4,11
2300,0.5,5,12
2300,0.5,6,11
2300,0.5,7,10
2300,0.5,8,14
2300,0.5,9,14
2300,0.5,10,11
2300,0.5,11,17
2300,0.5,12,10
2300,0.5,13,12
2300,0.5,14,14
2300,0.5,15,12
2300,0.5,16,10
2300,0.5,17,11
2300,0.5,18,11
2300,0.5,19,12
2300,0.5,20,12
2300,0.5,21,12
2300,0.5,22,13
2300,0.5,23,11
2300,0.5,24,12
2300,0.5,25,13
2300,0.5,26,14
2300,0.5,27,14
2300,0.5,28,16
2300,0.5,29,13
2300,0.5,30,12
2300,0.5,31,10
2300,0.5,32,12
2300,0.5,33,13
2300,0.5,34,11
2300,0.5,35,17
2300,0.5,36,16
2300,0.5,37,11
2300,0.5,38,10
2300,0.5,39,13
2300,0.5,40,10
2300,0.5,41,12
2300,0.5,42,12
2300,0.5,43,10
2300,0.5,44,13
2300,0.5,45,11
2300,0.5,46,12
2300,0.5,47,11
2300,0.5,48,18
2300,0.5,49,13
2300,0.5,50,14
2400,0.5,1,11
2400,0.5,2,12
2400,0.5,3,15
2400,0.5,4,11
2400,0.5,5,11
2400,0.5,6,11
2400,0.5,7,12
2400,0.5,8,12
2400,0.5,9,14
2400,0.5,10,14
2400,0.5,11,11
2400,0.5,12,13
2400,0.5,13,12
2400,0.5,14,12
2400,0.5,15,11
2400,0.5,16,12
2400,0.5,17,10
2400,0.5,18,10
2400,0.5,19,13
2400,0.5,20,14
2400,0.5,21,14
2400,0.5,22,11
2400,0.5,23,13
2400,0.5,24,11
2400,0.5,25,16
2400,0.5,26,11
2400,0.5,27,11
2400,0.5,28,14
2400,0.5,29,16
2400,0.5,30,14
2400,0.5,31,11
2400,0.5,32,11
2400,0.5,33,12
2400,0.5,34,13
2400,0.5,35,15
2400,0.5,36,10
2400,0.5,37,16
2400,0.5,38,14
2400,0.5,39,13
2400,0.5,40,12
2400,0.5,41,12
2400,0.5,42,11
2400,0.5,43,13
2400,0.5,44,12
2400,0.5,45,13
2400,0.5,46,11
2400,0.5,47,12
2400,0.5,48,13
2400,0.5,49,11
2400,0.5,50,10
2500,0.5,1,13
2500,0.5,2,11
2500,0.5,3,12
2500,0.5,4,11
2500,0.5,5,13
2500,0.5,6,11
2500,0.5,7,11
2500,0.5,8,11
2500,0.5,9,14
2500,0.5,10,15
2500,0.5,11,16
2500,0.5,12,14
2500,0.5,13,12
2500,0.5,14,12
2500,0.5,15,13
2500,0.5,16,10
2500,0.5,17,13
2500,0.5,18,10
2500,0.5,19,14
2500,0.5,20,12
2500,0.5,21,13
2500,0.5,22,14
2500,0.5,23,10
2500,0.5,24,13
2500,0.5,25,14
2500,0.5,26,12
2500,0.5,27,13
2500,0.5,28,11
2500,0.5,29,12
2500,0.5,30,11
2500,0.5,31,14
2500,0.5,32,11
2500,0.5,33,13
2500,0.5,34,13
2500,0.5,35,15
2500,0.5,36,12
2500,0.5,37,12
2500,0.5,38,14
2500,0.5,39,9
2500,0.5,40,16
2500,0.5,41,11
2500,0.5,42,14
2500,0.5,43,18
2500,0.5,44,12
2500,0.5,45,11
2500,0.5,46,13
2500,0.5,47,11
2500,0.5,48,15
2500,0.5,49,16
2500,0.5,50,13
2600,0.5,1,12
2600,0.5,2,14
2600,0.5,3,15
2600,0.5,4,13
2600,0.5,5,14
2600,0.5,6,11
2600,0.5,7,11
2600,0.5,8,12
2600,0.5,9,13
2600,0.5,10,15
2600,0.5,11,14
2600,0.5,12,10
2600,0.5,13,13
2600,0.5,14,14
2600,0.5,15,18
2600,0.5,16,17
2600,0.5,17,11
2600,0.5,18,13
2600,0.5,19,11
2600,0.5,20,12
2600,0.5,21,9
2600,0.5,22,10
2600,0.5,23,13
2600,0.5,24,13
2600,0.5,25,13
2600,0.5,26,17
2600,0.5,27,10
2600,0.5,28,12
2600,0.5,29,13
2600,0.5,30,12
2600,0.5,31,14
2600,0.5,32,10
2600,0.5,33,10
2600,0.5,34,12
2600,0.5,35,11
2600,0.5,36,12
2600,0.5,37,12
2600,0.5,38,11
2600,0.5,39,15
2600,0.5,40,11
2600,0.5,41,14
2600,0.5,42,11
2600,0.5,43,10
2600,0.5,44,15
2600,0.5,45,13
2600,0.5,46,12
2600,0.5,47,11
2600,0.5,48,18
2600,0.5,49,13
2600,0.5,50,12
2700,0.5,1,10
2700,0.5,2,14
2700,0.5,3,12
2700,0.5,4,12
2700,0.5,5,10
2700,0.5,6,13
2700,0.5,7,12
2700,0.5,8,14
2700,0.5,9,12
